<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.10	06:00:00	2674.908	2675.973	2674.233	2675.544	2518	0	159
2025.01.10	06:30:00	2675.518	2678.552	2675.148	2678.163	2860	0	159
2025.01.10	07:00:00	2678.179	2678.716	2674.483	2678.603	3786	0	159
2025.01.10	07:30:00	2678.643	2678.743	2673.469	2676.146	2828	0	159
2025.01.10	08:00:00	2676.181	2680.316	2675.713	2678.567	3832	0	159
2025.01.10	08:30:00	2678.621	2680.469	2676.279	2680.057	5030	0	159
2025.01.10	09:00:00	2680.021	2682.389	2677.592	2680.042	4115	0	160
2025.01.10	09:30:00	2680.005	2681.024	2678.347	2678.485	3703	0	159
2025.01.10	10:00:00	2678.532	2682.687	2678.205	2681.046	4243	0	159
2025.01.10	10:30:00	2681.114	2681.587	2678.762	2680.936	4209	0	159
2025.01.10	11:00:00	2680.950	2682.785	2680.242	2681.862	3293	0	159
2025.01.10	11:30:00	2681.903	2683.088	2680.581	2681.402	2676	0	159
2025.01.10	12:00:00	2681.363	2681.401	2676.061	2676.957	3853	0	159
2025.01.10	12:30:00	2676.935	2679.853	2674.811	2678.290	4147	0	159
2025.01.10	13:00:00	2678.321	2680.913	2675.097	2677.478	6879	0	159
2025.01.10	13:30:00	2677.453	2683.771	2663.991	2682.687	22316	0	159
2025.01.10	14:00:00	2682.626	2690.850	2680.790	2689.201	18977	0	159
2025.01.10	14:30:00	2689.226	2693.406	2682.121	2687.851	23273	0	159
2025.01.10	15:00:00	2687.856	2695.436	2682.398	2694.556	19964	0	159
2025.01.10	15:30:00	2694.605	2698.026	2690.107	2692.683	20646	0	159
2025.01.10	16:00:00	2692.592	2693.246	2687.258	2688.599	15719	0	159
2025.01.10	16:30:00	2688.568	2697.163	2686.727	2696.162	11935	0	159
2025.01.10	17:00:00	2696.207	2697.037	2692.413	2694.590	9290	0	159
2025.01.10	17:30:00	2694.592	2697.915	2694.282	2696.107	7561	0	159
2025.01.10	18:00:00	2696.016	2697.196	2687.077	2688.322	8860	0	159
2025.01.10	18:30:00	2688.349	2688.566	2685.110	2687.303	5252	0	159
2025.01.10	19:00:00	2687.338	2687.566	2684.586	2686.720	5267	0	159
2025.01.10	19:30:00	2686.760	2687.801	2684.629	2685.855	3970	0	159
2025.01.10	20:00:00	2685.890	2690.005	2684.500	2689.671	3732	0	159
2025.01.10	20:30:00	2689.685	2690.886	2688.414	2690.728	4760	0	159
2025.01.10	21:00:00	2690.679	2693.773	2689.743	2690.825	3906	0	159
2025.01.10	21:30:00	2690.778	2691.060	2689.005	2689.565	4504	0	159
2025.01.12	23:00:00	2689.769	2691.364	2687.574	2688.741	2830	0	159
2025.01.12	23:30:00	2688.800	2691.168	2688.597	2691.105	2283	0	160
2025.01.13	00:00:00	2691.128	2693.368	2688.638	2690.191	2386	0	159
2025.01.13	00:30:00	2690.191	2691.449	2688.103	2689.726	2107	0	159
2025.01.13	01:00:00	2689.730	2690.015	2679.294	2680.593	10308	0	159
2025.01.13	01:30:00	2680.563	2686.479	2679.623	2685.548	7442	0	159
2025.01.13	02:00:00	2685.590	2690.554	2684.862	2688.992	4193	0	159
2025.01.13	02:30:00	2688.985	2690.193	2687.216	2688.656	4027	0	159
2025.01.13	03:00:00	2688.564	2688.697	2685.362	2687.241	4088	0	159
2025.01.13	03:30:00	2687.199	2688.265	2685.677	2687.938	2985	0	159
2025.01.13	04:00:00	2687.979	2690.854	2686.219	2686.597	3382	0	159
2025.01.13	04:30:00	2686.581	2687.175	2684.307	2686.040	4606	0	159
2025.01.13	05:00:00	2686.068	2686.759	2684.575	2685.344	3904	0	159
2025.01.13	05:30:00	2685.293	2686.979	2683.273	2686.936	5874	0	159
2025.01.13	06:00:00	2687.000	2691.005	2686.894	2690.371	3137	0	159
2025.01.13	06:30:00	2690.344	2691.323	2688.593	2689.960	4761	0	160
2025.01.13	07:00:00	2689.935	2690.543	2687.055	2688.145	5325	0	159
2025.01.13	07:30:00	2688.137	2688.709	2684.440	2685.102	5403	0	159
2025.01.13	08:00:00	2685.074	2689.479	2684.028	2686.526	6873	0	159
